cities,zip_codes,regions,code_insee,appartement-loyer-m2,appartement12-loyer-m2,appartement3-loyer-m2,maison-loyer-m2
Changy,51300.0,Grand Est,51039,8.89447927962285,9.66793923238746,6.90883777015173,6.80709083195653
Chantemerle,51260.0,Grand Est,51004,8.14995185833774,8.95681354635853,8.09729561793141,7.79971657452783
Chapelaine,51290.0,Grand Est,51008,7.18293185547549,8.81536976324281,6.80816781420186,6.30882100478431
La Chapelle-Felcourt,51800.0,Grand Est,51015,6.96156085062336,9.23467026147072,6.26205931685786,5.53242643251973
La Chapelle-Lasson,51260.0,Grand Est,51004,8.14995185833774,8.95681354635853,8.09729561793141,7.79971657452783
La Chapelle-sous-Orbais,51270.0,Grand Est,51033,8.85475907336912,9.85398427865536,6.81085162371939,7.25460184655148
Charleville,51120.0,Grand Est,51005,7.92659336339227,10.2948464962792,6.81085162371939,7.18878902199597
Charmont,51330.0,Grand Est,51047,7.3192469211362,9.23467026147072,6.07886327460702,6.80709083195653
Les Charmontois,51330.0,Grand Est,51047,7.3192469211362,9.23467026147072,6.07886327460702,6.80709083195653
Le Châtelier,51330.0,Grand Est,51047,7.3192469211362,9.23467026147072,6.07886327460702,6.80709083195653
Châtelraould-Saint-Louvent,51300.0,Grand Est,51039,8.89447927962285,9.66793923238746,6.90883777015173,6.80709083195653
Châtillon-sur-Broué,51290.0,Grand Est,51008,7.18293185547549,8.81536976324281,6.80816781420186,6.30882100478431
Châtillon-sur-Marne,51700.0,Grand Est,51012,8.85475907336912,10.817291698197,7.4580921810376,8.02360243402776
Châtillon-sur-Morin,51310.0,Grand Est,51071,10.7580993768278,13.3758570583311,8.09729561793141,7.18878902199597
Châtrices,51800.0,Grand Est,51015,6.96156085062336,9.23467026147072,6.26205931685786,5.53242643251973
Chaudefontaine,51800.0,Grand Est,51015,6.96156085062336,9.23467026147072,6.26205931685786,5.53242643251973
Chaumuzy,51170.0,Grand Est,51013,9.39573284032175,11.4732729111633,8.58735108075574,8.02360243402776
La Chaussée-sur-Marne,51240.0,Grand Est,51001,7.92659336339227,9.35537423038193,6.90883777015173,7.06477583847091
Chavot-Courcourt,51530.0,Grand Est,51002,8.85475907336912,10.817291698197,7.97297048962313,7.92601953898569
Le Chemin,51800.0,Grand Est,51015,6.96156085062336,9.23467026147072,6.26205931685786,5.53242643251973
Cheminon,51250.0,Grand Est,51006,7.48884508400894,8.81536976324281,6.07886327460702,5.79854189167959
Chenay,51140.0,Grand Est,51077,10.2666418416739,12.5379046885608,8.07217269885239,8.08479226311576
Cheniers,51510.0,Grand Est,51146,9.24020465425484,10.2184617981616,9.00068077761109,8.81381096201449
La Cheppe,51600.0,Grand Est,51019,7.80179135350471,10.2184617981616,8.35445493756338,6.86447018868606
Cheppes-la-Prairie,51240.0,Grand Est,51001,7.92659336339227,9.35537423038193,6.90883777015173,7.06477583847091
Chepy,51240.0,Grand Est,51001,7.92659336339227,9.35537423038193,6.90883777015173,7.06477583847091
Cherville,51150.0,Grand Est,51003,9.39522229491055,10.2184617981616,9.00068077761109,8.68968689731701
Chichey,51120.0,Grand Est,51005,7.92659336339227,10.2948464962792,6.81085162371939,7.18878902199597
Chigny-les-Roses,51500.0,Grand Est,51112,11.1342980951641,14.5208538505845,8.35445493756338,10.3228800869345
Chouilly,51530.0,Grand Est,51002,8.85475907336912,10.817291698197,7.97297048962313,7.92601953898569
Clamanges,51130.0,Grand Est,51049,9.10806275993779,10.2184617981616,7.24158026089527,7.98905048816851
Clesles,51260.0,Grand Est,51004,8.14995185833774,8.95681354635853,8.09729561793141,7.79971657452783
Cloyes-sur-Marne,51300.0,Grand Est,51039,8.89447927962285,9.66793923238746,6.90883777015173,6.80709083195653
Coizard-Joches,51270.0,Grand Est,51033,8.85475907336912,9.85398427865536,6.81085162371939,7.25460184655148
Val-des-Marais,51130.0,Grand Est,51049,9.10806275993779,10.2184617981616,7.24158026089527,7.98905048816851
Compertrix,51510.0,Grand Est,51146,9.24020465425484,10.2184617981616,9.00068077761109,8.81381096201449
Condé-sur-Marne,51150.0,Grand Est,51003,9.39522229491055,10.2184617981616,9.00068077761109,8.68968689731701
Conflans-sur-Seine,51260.0,Grand Est,51004,8.14995185833774,8.95681354635853,8.09729561793141,7.79971657452783
Congy,51270.0,Grand Est,51033,8.85475907336912,9.85398427865536,6.81085162371939,7.25460184655148
Connantray-Vaurefroy,51230.0,Grand Est,51010,8.69534393191396,10.2948464962792,7.24158026089527,7.18878902199597
Connantre,51230.0,Grand Est,51010,8.69534393191396,10.2948464962792,7.24158026089527,7.18878902199597
Contault,51330.0,Grand Est,51047,7.3192469211362,9.23467026147072,6.07886327460702,6.80709083195653
Coole,51320.0,Grand Est,51084,7.21843229135397,8.58988308334711,6.90883777015173,6.17055004482242
Coolus,51510.0,Grand Est,51146,9.24020465425484,10.2184617981616,9.00068077761109,8.81381096201449
Corbeil,51320.0,Grand Est,51084,7.21843229135397,8.58988308334711,6.90883777015173,6.17055004482242
Corfélix,51210.0,Grand Est,51050,10.5103594275762,9.85398427865536,6.81085162371939,8.19430659778241
